system:index,Biome_Type,Bulk_Density,Carbon_Content,Clay_Content,Human_Footprint,Max_DEF,Max_VPD,Pre_NDVI,Ref_ID,Sand_Content,TWI,aspect,dNBR,def,elevation,esa_lc_2021,event_start,gfc_lossyear,pdsi,pr,slope,soil,tmmx,vpd,.geo,Prob_Arc_1,Prob_Arc_2,Prob_Arc_3,Predicted_Dominant_Archetype
0000000000000000027f,5.0,121.0,10.0,18.0,0.0636088252067565,1817.0,152.0,0.2677723145368175,700,44.0,15.149189724355743,152.89648806978474,-0.1177932016385233,359.375,3008.0,30,1991,11.0,69.3125,49.88541666666666,1.8986165523529053,225.36458333333331,105.9375,63.677083333333336,"{""type"":""Point"",""coordinates"":[-112.79770563043436,37.56643257642862]}",0.49637085,0.87446356,0.06778398,Archetype_2
00000000000000000279,5.0,106.0,12.0,15.0,0.0647450610995292,1706.0,131.0,0.2320216770922404,694,52.0,13.685580745428418,122.8149641017954,-0.0114226845651951,327.3333333333333,3140.0,30,1994,17.0,-32.28125,45.25,2.583275079727173,230.07291666666663,96.66666666666669,59.1875,"{""type"":""Point"",""coordinates"":[-112.76550200262638,37.68690856869062]}",0.7700543,0.46338475,0.018340787,Archetype_1
000000000000000002b4,13.0,113.0,10.0,18.0,0.0343452356755733,1732.0,178.0,0.1110734440204852,765,47.0,13.494528286025446,74.08510455664155,0.157281789771758,454.8125,2586.0,30,2012,3.0,20.697916666666668,27.125,2.4999940395355225,115.17708333333331,111.27083333333331,65.5,"{""type"":""Point"",""coordinates"":[-108.92510567944716,40.98145295461436]}",0.8178176,0.08770786,0.15362938,Archetype_1
0000000000000000033f,12.0,121.0,6.0,19.0,0.1485965847969055,1870.0,210.0,0.5205039528111137,929,45.0,18.11758232960237,130.8359385425466,-0.0643554354003357,435.8333333333333,956.0,30,2015,12.0,-149.64583333333334,70.21875,1.5510058403015137,582.28125,172.73958333333334,67.72916666666667,"{""type"":""Point"",""coordinates"":[-6.216388187598365,42.203612289544914]}",0.4062121,0.42795876,0.34034103,Archetype_2
00000000000000000564,12.0,120.0,8.0,26.0,0.5235346555709839,2176.0,214.0,0.4318599053857785,1593,36.0,12.843874114662386,143.68262787304045,0.059443071429593,534.03125,688.0,30,2000,7.0,-49.22916666666666,56.052083333333336,8.46318244934082,1156.5520833333333,178.875,82.27083333333333,"{""type"":""Point"",""coordinates"":[23.716999796552134,38.160001354057016]}",0.42687568,0.016188573,0.7670001,Archetype_3
00000000000000000003,7.0,154.0,1.0,18.0,0.3918119668960571,1830.0,184.0,,4,73.0,16.482790717546763,313.5752711008008,,1080.625,707.0,60,1982,,-37.51041666666666,28.104166666666668,0.4905499517917633,28.27083333333333,290.4583333333333,134.20833333333334,"{""type"":""Point"",""coordinates"":[29.33333121448934,-22.42499756182146]}",0.29000506,0.21409573,0.021728124,Archetype_1
0000000000000000028d,12.0,152.0,2.0,26.0,0.7775065302848816,2036.0,172.0,0.1555208326939388,715,36.0,17.115438740334714,126.7737180180956,0.0066116001302237,904.5833333333334,27.0,60,2013,,-144.98958333333334,26.98958333333333,0.6616457104682922,51.51041666666666,243.09375,92.5625,"{""type"":""Point"",""coordinates"":[-0.4499991010105977,38.400003550056624]}",0.49031138,0.16992661,0.21709381,Archetype_1
00000000000000000004,1.0,113.0,10.0,45.0,0.2110621482133865,1019.0,117.0,,5,37.0,14.948104170824209,171.80883911097266,,233.25,1400.0,10,1999,,-130.51041666666666,106.97916666666669,1.2882273197174072,501.5416666666667,279.8645833333333,70.32291666666667,"{""type"":""Point"",""coordinates"":[30.412304355492694,0.49162035024346146]}",0.2021938,0.07457777,0.59046257,Archetype_3
0000000000000000000b,12.0,114.0,7.0,14.0,0.1227449849247932,2022.0,160.0,0.636338602106844,13,73.0,16.17795591027853,68.93350937084396,-0.0323433321912212,597.15625,294.0,10,2010,,-362.3333333333333,66.01041666666667,0.1612681895494461,1415.28125,226.64583333333331,82.94791666666667,"{""type"":""Point"",""coordinates"":[115.94687440381365,-33.417939125062624]}",0.2369032,0.56729645,0.17114943,Archetype_2
00000000000000000014,12.0,115.0,8.0,18.0,0.0528706274926662,2132.0,175.0,0.5267185615741495,22,66.0,19.579936863460823,23.80553156206327,-0.0525253520545352,634.8125,219.0,10,2010,,-352.1875,69.125,1.4041699171066284,1414.9583333333333,234.52083333333331,89.85416666666667,"{""type"":""Point"",""coordinates"":[115.91043908910596,-33.367306032600744]}",0.17710438,0.7943881,0.16407327,Archetype_2
